Peak value tool,Peak value screw,Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Maximum injection pressure,Switch-over pressure,Peak value of mould,Peak value of ejector,Cycle time,Dosing time,Injection time,Mould protection time,Temperature of feed yoke,Material cushion,Switch-over volume,Cylinder heating zone 5,ground_truth
799.015,119.909,214.3,215.5,220,224.5,2250.425,1752.953,3.002,0.144,24.328,2.078,0.458,0.656,45.2,29.515,44.974,230.1,0
798.278,119.952,213.3,215.6,220.6,224.8,2248.288,1877.88,2.866,0.458,24.344,2.248,0.458,0.654,45,29.638,44.964,230.1,0
798.278,119.952,213.3,215.6,220.6,224.8,2248.288,1877.88,2.866,0.458,24.344,2.248,0.458,0.654,45,29.638,44.964,230.1,0
798.278,119.909,211.6,215.3,221.3,225.3,2239.059,1809.491,3.168,0.146,24.344,2.032,0.458,0.656,44.4,27.946,44.989,230,1
798.278,119.909,211.6,215.3,221.3,225.3,2239.059,1809.491,3.168,0.146,24.344,2.032,0.458,0.656,44.4,27.946,44.989,230,1
798.646,119.909,211.6,215.3,221.3,225.6,2220.019,1795.211,3.15,0.15,24.342,2.08,0.456,0.656,44,28.68,44.953,230.1,1
798.831,119.909,211.8,215.3,221.6,225.6,2208.459,1753.051,3.312,0.156,24.34,2.082,0.454,0.656,43.7,29.312,44.989,230.1,1
798.831,119.909,211.8,215.3,221.6,225.6,2208.459,1753.051,3.312,0.156,24.34,2.082,0.454,0.656,43.7,29.312,44.989,230.1,1
799.015,119.909,212.3,215.3,221.6,225.5,2206.225,1733.33,2.86,0.144,24.34,2.064,0.454,0.654,43.2,29.444,44.959,230,1
799.015,119.909,212.3,215.3,221.6,225.5,2206.225,1733.33,2.86,0.144,24.34,2.064,0.454,0.654,43.2,29.444,44.959,230,1
799.2,119.909,212.6,215.3,221.6,225.3,2213.899,1738.285,2.722,0.142,24.34,2.064,0.454,0.654,42.7,29.551,44.959,229.8,1
799.569,119.909,212.6,215.1,221.8,225.3,2196.413,1721.382,3.314,0.15,24.34,2.058,0.454,0.656,42.5,29.561,44.948,229.8,0
799.569,119.909,212.6,215.1,221.8,225.3,2196.413,1721.382,3.314,0.15,24.34,2.058,0.454,0.656,42.5,29.561,44.948,229.8,1
799.2,119.909,212.5,214.8,221.6,225.3,2185.728,1716.33,2.974,0.148,24.338,2.048,0.452,0.656,42,29.383,44.984,229.8,1
799.2,119.909,212.5,214.8,221.6,225.3,2185.728,1716.33,2.974,0.148,24.338,2.048,0.452,0.656,42,29.383,44.984,229.8,1
799.384,119.909,213,215,221.6,225.3,2202.825,1719.925,3.076,0.148,24.34,2.076,0.454,0.654,41.7,29.551,44.948,229.8,1
