Spitzenwert Werkzeug. Istwert,Spitzenwert Schnecke. Istwert,Cylinder heating zone 1. actual value,Cylinder heating zone 2. actual value,Cylinder heating zone 3. actual value,Cylinder heating zone 4. actual value,Maximum injection pressure . actual value,Switch-over pressure . actual value,Peak value of mould. actual value,Peak value of ejector. actual value,Cycle time. actual value,Dosing time . actual value,Injection time . actual value,Mould protection time. actual value,Temperature of feed yoke. actual value,Material cushion . actual value,Switch-over volume. actual value,Cylinder heating zone 5. actual value,tempActualValue,tempMainLine,tempReturnLine,SLPThresholdPostGate,SLPThresholdEndOfFill,Temperature_MeasureStartEndOfFill,Temperature_OverallMaximumEndOfFill,Temperature_OverallMaximumTimeEndOfFill,MaximumPressurePostGate,MaximumPressureEndOfFill,MaximumPressureTimePostGate,MaximumPressureTimeEndOfFill,Integral_CycleStartCycleEndPostGate,Integral_CycleStartCycleEndEndOfFill,Integral_CycleStartMaxValuePostGate,Integral_CycleStartMaxValueEndOfFill,Integral_MaxValueCycleEndPostGate,Integral_MaxValueCycleEndEndOfFill,Width,Length,timestamp,DeltaTimePostGate,DeltaTimeEndOfFill,ground_truth,
799.015,119.909,214.3,215.5,220,224.5,2250.425,1752.953,3.002,0.144,24.328,2.078,0.458,0.656,45.2,29.515,44.974,230.1,60,60,58,94.586,52.5,57.62,72.982,4.026,525.541,477.706,4.515,3.612,7533.595,4852.363,1551.358,947.526,5982.237,3904.837,423.379,2054.931,45566.68738,45566.68738,45566.68738,0,42
798.278,119.952,213.3,215.6,220.6,224.8,2248.288,1877.88,2.866,0.458,24.344,2.248,0.458,0.654,45,29.638,44.964,230.1,60,60,58,94.586,52.5,62.489,76.564,3.123,530.366,478.785,4.703,3.65,7622.036,4933.919,1661.097,964.872,5960.939,3969.047,423.164,2052.723,45566.68766,45566.68766,45566.68766,0,
798.278,119.952,213.3,215.6,220.6,224.8,2248.288,1877.88,2.866,0.458,24.344,2.248,0.458,0.654,45,29.638,44.964,230.1,60,60,58,137.796,52.5,61.579,77.97,1.242,533.294,482.214,4.966,3.838,7949.818,5784.738,1837.158,1109.62,6112.66,4675.118,424.551,2056.138,45566.68766,45566.68766,45566.68766,0,
798.278,119.909,211.6,215.3,221.3,225.3,2239.059,1809.491,3.168,0.146,24.344,2.032,0.458,0.656,44.4,27.946,44.989,230,60.2,60.2,58.9,94.586,52.5,64.553,78.379,3.913,536.446,489.084,4.59,3.687,7626.308,5192.981,1602.447,985.002,6023.86,4207.979,423.153,2054.97,45566.68827,45566.68827,45566.68827,1,
798.278,119.909,211.6,215.3,221.3,225.3,2239.059,1809.491,3.168,0.146,24.344,2.032,0.458,0.656,44.4,27.946,44.989,230,60.2,60.2,58.9,137.796,52.5,64.03,80.409,1.354,540.018,490.783,4.929,3.913,7872.102,5948.856,1816.373,1137.068,6055.729,4811.789,424.234,2052.834,45566.68827,45566.68827,45566.68827,1,
798.646,119.909,211.6,215.3,221.3,225.6,2220.019,1795.211,3.15,0.15,24.342,2.08,0.456,0.656,44,28.68,44.953,230.1,60.3,60.3,59.2,137.796,52.5,64.733,80.231,2.145,542.142,495.771,4.816,3.838,7915.748,6076.039,1794.185,1141.157,6121.563,4934.881,424.476,2054.275,45566.68851,45566.68851,45566.68851,1,
798.831,119.909,211.8,215.3,221.6,225.6,2208.459,1753.051,3.312,0.156,24.34,2.082,0.454,0.656,43.7,29.312,44.989,230.1,60.3,60.3,59.5,94.586,52.5,65.162,79.037,3.537,542.41,498.699,4.515,3.574,7764.275,5458.425,1636.63,1006.727,6127.645,4451.698,423.496,2055.202,45566.6888,45566.6888,45566.6888,1,
798.831,119.909,211.8,215.3,221.6,225.6,2208.459,1753.051,3.312,0.156,24.34,2.082,0.454,0.656,43.7,29.312,44.989,230.1,60.3,60.3,59.5,137.796,52.5,65.12,81.404,1.317,543.125,496.934,4.816,3.838,7938.615,6075,1810.829,1158.949,6127.786,4916.051,424.555,2056.425,45566.6888,45566.6888,45566.6888,1,
799.015,119.909,212.3,215.3,221.6,225.5,2206.225,1733.33,2.86,0.144,24.34,2.064,0.454,0.654,43.2,29.444,44.959,230,60.2,60.2,59.7,94.586,52.5,65.137,79.143,3.349,542.236,498.757,4.515,3.574,7762.566,5459.902,1642.929,1014.041,6119.638,4445.861,423.666,2053.606,45566.68907,45566.68907,45566.68907,1,
799.015,119.909,212.3,215.3,221.6,225.5,2206.225,1733.33,2.86,0.144,24.34,2.064,0.454,0.654,43.2,29.444,44.959,230,60.2,60.2,59.7,137.796,52.5,65.364,81.516,1.279,544.257,498.69,4.816,3.8,7966.516,6139.862,1823.023,1152.039,6143.492,4987.823,424.721,2056.183,45566.68907,45566.68907,45566.68907,1,
